"","AMC_2_tumor","AMC_3_tumor","AMC_5_tumor","AMC_2_normal","AMC_3_normal","AMC_5_normal"
"AMC_2_tumor",0,126.479141057767,163.202253006704,155.635904892051,160.220027812944,160.900710258611
"AMC_3_tumor",126.479141057767,0,162.070161152167,157.61927492664,155.157895681899,159.39928633905
"AMC_5_tumor",163.202253006704,162.070161152167,0,96.519473558634,104.165815521592,59.8547231592281
"AMC_2_normal",155.635904892051,157.61927492664,96.519473558634,0,84.6140564031964,92.7928638475302
"AMC_3_normal",160.220027812944,155.157895681899,104.165815521592,84.6140564031964,0,100.782097931871
"AMC_5_normal",160.900710258611,159.39928633905,59.8547231592281,92.7928638475302,100.782097931871,0
