"ensembl_gene_id_clean","gene_symbol","entrez_id","group"
"ENSG00000211668","IGLV2-11","28816","down_in_tumor"
"ENSG00000214814","FER1L6","654463","down_in_tumor"
"ENSG00000125144","MT1G","4495","down_in_tumor"
"ENSG00000242366","UGT1A8","54576","down_in_tumor"
"ENSG00000244575","IGKV1-27","28935","down_in_tumor"
"ENSG00000162670","BRINP3","339479","down_in_tumor"
"ENSG00000169860","P2RY1","5028","down_in_tumor"
"ENSG00000160408","ST6GALNAC6","30815","down_in_tumor"
"ENSG00000160868","CYP3A4","1576","down_in_tumor"
"ENSG00000177675","CD163L1","283316","down_in_tumor"
"ENSG00000183034","OTOP2","92736","down_in_tumor"
"ENSG00000065325","GLP2R","9340","down_in_tumor"
"ENSG00000117472","TSPAN1","10103","down_in_tumor"
"ENSG00000074410","CA12","771","down_in_tumor"
"ENSG00000251546","IGKV1D-39","28893","down_in_tumor"
"ENSG00000266964","FXYD1","5348","down_in_tumor"
"ENSG00000165521","EML5","161436","down_in_tumor"
"ENSG00000224189","HAGLR","401022","down_in_tumor"
"ENSG00000295422","","107987349","down_in_tumor"
"ENSG00000197766","CFD","1675","down_in_tumor"
"ENSG00000243264","IGKV2D-29","28882","down_in_tumor"
"ENSG00000203859","HSD3B2","3284","down_in_tumor"
"ENSG00000224373","IGHV4-59","28392","down_in_tumor"
"ENSG00000211652","IGLV7-43","28776","down_in_tumor"
"ENSG00000165072","MAMDC2","256691","down_in_tumor"
"ENSG00000115590","IL1R2","7850","down_in_tumor"
"ENSG00000153233","PTPRR","5801","down_in_tumor"
"ENSG00000211663","IGLV3-19","28797","down_in_tumor"
"ENSG00000211952","IGHV4-28","28400","down_in_tumor"
"ENSG00000211955","IGHV3-33","28434","down_in_tumor"
"ENSG00000211964","IGHV3-48","28424","down_in_tumor"
"ENSG00000243466","IGKV1-5","28299","down_in_tumor"
"ENSG00000101680","LAMA1","284217","down_in_tumor"
"ENSG00000164270","HTR4","3360","down_in_tumor"
"ENSG00000170298","LGALS9B","284194","down_in_tumor"
"ENSG00000184564","SLITRK6","84189","down_in_tumor"
"ENSG00000111863","ADTRP","84830","down_in_tumor"
"ENSG00000196616","ADH1B","125","down_in_tumor"
"ENSG00000211651","IGLV1-44","28823","down_in_tumor"
"ENSG00000211666","IGLV2-14","28815","down_in_tumor"
"ENSG00000211967","IGHV3-53","28420","down_in_tumor"
"ENSG00000082397","EPB41L3","23136","down_in_tumor"
"ENSG00000118308","IRAG2","4033","down_in_tumor"
"ENSG00000186594","MIR22HG","84981","down_in_tumor"
"ENSG00000187193","MT1X","4501","down_in_tumor"
"ENSG00000240505","TNFRSF13B","23495","down_in_tumor"
"ENSG00000170381","SEMA3E","9723","down_in_tumor"
"ENSG00000253998","IGKV2-29","28920","down_in_tumor"
"ENSG00000128040","SPINK2","6691","down_in_tumor"
"ENSG00000211934","IGHV1-2","28474","down_in_tumor"
"ENSG00000136826","KLF4","9314","down_in_tumor"
"ENSG00000211660","IGLV2-23","28813","down_in_tumor"
"ENSG00000173175","ADCY5","111","down_in_tumor"
"ENSG00000174236","REP15","387849","down_in_tumor"
"ENSG00000180875","GREM2","64388","down_in_tumor"
"ENSG00000176928","GCNT4","51301","down_in_tumor"
"ENSG00000270550","IGHV3-30","28439","down_in_tumor"
"ENSG00000239205","","101928405","down_in_tumor"
"ENSG00000127995","CASD1","64921","down_in_tumor"
"ENSG00000171714","ANO5","203859","down_in_tumor"
"ENSG00000138669","PRKG2","5593","down_in_tumor"
"ENSG00000170476","MZB1","51237","down_in_tumor"
"ENSG00000183476","SH2D7","646892","down_in_tumor"
"ENSG00000187699","C2orf88","84281","down_in_tumor"
"ENSG00000197165","SULT1A2","6799","down_in_tumor"
"ENSG00000241351","IGKV3-11","28914","down_in_tumor"
