"ensembl_gene_id_clean","gene_symbol","entrez_id","group"
"ENSG00000163817","SLC6A20","54716","up_in_tumor"
"ENSG00000261115","TMEM178B","100507421","up_in_tumor"
"ENSG00000029153","BMAL2","56938","up_in_tumor"
"ENSG00000159263","SIM2","6493","up_in_tumor"
"ENSG00000165891","E2F7","144455","up_in_tumor"
"ENSG00000123500","COL10A1","1300","up_in_tumor"
"ENSG00000136997","MYC","4609","up_in_tumor"
"ENSG00000141756","FKBP10","60681","up_in_tumor"
"ENSG00000112559","MDFI","4188","up_in_tumor"
"ENSG00000185105","MYADML2","255275","up_in_tumor"
"ENSG00000257453","","120766149","up_in_tumor"
"ENSG00000196335","STK31","56164","up_in_tumor"
"ENSG00000274290","H2BC6","8344","up_in_tumor"
"ENSG00000174951","FUT1","2523","up_in_tumor"
"ENSG00000111199","TRPV4","59341","up_in_tumor"
"ENSG00000122641","INHBA","3624","up_in_tumor"
"ENSG00000186193","SAPCD2","89958","up_in_tumor"
